Occupation (SOC code),Employment(1),Hourly mean wage,Annual mean wage(2)
Production Occupations(510000),     8408030,       20.71,       43070
First-Line Supervisors of Production and Operating Workers(511011),      629420,       32.37,       67330
Assemblers and Fabricators(512000),     1769890,       18.75,       39000
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers(512011)",       33320,       26.63,       55380
"Electrical, Electronics, and Electromechanical Assemblers(512020)",      283010,       19.11,       39740
"Coil Winders, Tapers, and Finishers(512021)",       11090,       20.41,       42460
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers(512028)",      271920,       19.05,       39630
Engine and Other Machine Assemblers(512031),       45990,       23.13,       48110
Structural Metal Fabricators and Fitters(512041),       61070,       21.99,       45730
Fiberglass Laminators and Fabricators(512051),       17380,       19.40,       40360
Timing Device Assemblers and Adjusters(512061),         560,       21.48,       44670
Miscellaneous Assemblers and Fabricators(512090),     1328550,       18.17,       37780
Food Processing Workers(513000),      795640,       16.27,       33830
Bakers(513011),      181800,       15.53,       32300
"Butchers and Other Meat, Poultry, and Fish Processing Workers(513020)",      364480,       16.04,       33360
Butchers and Meat Cutters(513021),      145930,       17.15,       35670
"Meat, Poultry, and Fish Cutters and Trimmers(513022)",      132100,       15.23,       31680
Slaughterers and Meat Packers(513023),       86450,       15.39,       32010
Miscellaneous Food Processing Workers(513090),      249360,       17.13,       35630
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders(513091)",       21050,       17.44,       36280
Food Batchmakers(513092),      155240,       17.40,       36190
Food Cooking Machine Operators and Tenders(513093),       26710,       17.03,       35430
"Food Processing Workers, All Other(513099)",       46360,       16.16,       33600
Metal Workers and Plastic Workers(514000),     1633980,       21.56,       44840
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic(514020)",      102640,       20.53,       42710
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic(514021)",       59490,       19.48,       40520
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic(514022)",       11500,       21.35,       44410
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic(514023)",       31650,       22.22,       46210
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic(514030)",      288810,       19.59,       40740
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic(514031)",      179630,       19.23,       40000
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514032)",        6810,       20.79,       43240
"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514033)",       67750,       19.25,       40030
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514034)",       19690,       21.28,       44270
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic(514035)",       14920,       22.64,       47100
Machinists(514041),      333220,       23.57,       49020
"Metal Furnace Operators, Tenders, Pourers, and Casters(514050)",       22110,       22.11,       45990
Metal-Refining Furnace Operators and Tenders(514051),       15540,       22.33,       46440
"Pourers and Casters, Metal(514052)",        6570,       21.59,       44910
"Model Makers and Patternmakers, Metal and Plastic(514060)",        5780,       26.80,       55740
"Model Makers, Metal and Plastic(514061)",        3690,       28.40,       59080
"Patternmakers, Metal and Plastic(514062)",        2090,       23.96,       49840
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic(514070)",      176820,       18.13,       37720
Foundry Mold and Coremakers(514071),       13610,       19.22,       39980
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic(514072)",      163210,       18.04,       37530
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514081)",      134880,       19.63,       40830
Tool and Die Makers(514111),       63630,       26.99,       56150
"Welding, Soldering, and Brazing Workers(514120)",      427580,       23.04,       47910
"Welders, Cutters, Solderers, and Brazers(514121)",      397600,       23.21,       48290
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders(514122)",       29980,       20.65,       42950
Miscellaneous Metal Workers and Plastic Workers(514190),       78530,       19.68,       40940
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic(514191)",       14540,       19.98,       41560
"Layout Workers, Metal and Plastic(514192)",        6840,       25.16,       52340
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic(514193)",       32310,       18.55,       38580
"Tool Grinders, Filers, and Sharpeners(514194)",        6100,       20.99,       43660
"Metal Workers and Plastic Workers, All Other(514199)",       18740,       18.98,       39480
Printing Workers(515110),      211930,       19.55,       40660
Prepress Technicians and Workers(515111),       25840,       21.06,       43800
Printing Press Operators(515112),      145290,       19.77,       41120
Print Binding and Finishing Workers(515113),       40810,       17.82,       37060
"Textile, Apparel, and Furnishings Workers(516000)",      445950,       15.00,       31210
Laundry and Dry-Cleaning Workers(516011),      157400,       13.38,       27830
"Pressers, Textile, Garment, and Related Materials(516021)",       26910,       13.52,       28110
Sewing Machine Operators(516031),      116220,       14.85,       30880
Shoe and Leather Workers(516040),        9240,       15.84,       32950
Shoe and Leather Workers and Repairers(516041),        5620,       16.77,       34890
Shoe Machine Operators and Tenders(516042),        3610,       14.38,       29920
"Tailors, Dressmakers, and Sewers(516050)",       21450,       16.65,       34630
"Sewers, Hand(516051)",        4170,       15.07,       31350
"Tailors, Dressmakers, and Custom Sewers(516052)",       17270,       17.03,       35430
"Textile Machine Setters, Operators, and Tenders(516060)",       56700,       15.92,       33110
Textile Bleaching and Dyeing Machine Operators and Tenders(516061),        6240,       15.36,       31940
"Textile Cutting Machine Setters, Operators, and Tenders(516062)",       11970,       15.91,       33100
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders(516063)",       16330,       16.17,       33640
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders(516064)",       22160,       15.89,       33050
"Miscellaneous Textile, Apparel, and Furnishings Workers(516090)",       58030,       18.77,       39050
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers(516091)",       14040,       19.52,       40600
Fabric and Apparel Patternmakers(516092),        3220,       30.81,       64070
Upholsterers(516093),       28020,       18.38,       38220
"Textile, Apparel, and Furnishings Workers, All Other(516099)",       12750,       15.79,       32840
Woodworkers(517000),      230400,       18.04,       37520
Cabinetmakers and Bench Carpenters(517011),       93070,       19.27,       40070
Furniture Finishers(517021),       16300,       17.94,       37310
"Model Makers and Patternmakers, Wood(517030)",         550,       27.19,       56560
"Model Makers, Wood(517031)",         340,       28.87,       60040
"Patternmakers, Wood(517032)",         210,       24.53,       51020
"Woodworking Machine Setters, Operators, and Tenders(517040)",      112560,       17.04,       35450
"Sawing Machine Setters, Operators, and Tenders, Wood(517041)",       45350,       16.96,       35280
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing(517042)",       67210,       17.10,       35560
"Woodworkers, All Other(517099)",        7910,       17.35,       36080
Plant and System Operators(518000),      280900,       31.83,       66210
"Power Plant Operators, Distributors, and Dispatchers(518010)",       43440,       42.99,       89410
Nuclear Power Reactor Operators(518011),        4820,       53.47,      111220
Power Distributors and Dispatchers(518012),        9660,       45.92,       95520
Power Plant Operators(518013),       28960,       40.26,       83740
Stationary Engineers and Boiler Operators(518021),       29820,       33.90,       70510
Water and Wastewater Treatment Plant and System Operators(518031),      121150,       25.15,       52320
Miscellaneous Plant and System Operators(518090),       86500,       34.88,       72540
Chemical Plant and System Operators(518091),       21740,       33.18,       69020
Gas Plant Operators(518092),       15110,       37.01,       76970
"Petroleum Pump System Operators, Refinery Operators, and Gaugers(518093)",       34230,       38.70,       80500
"Plant and System Operators, All Other(518099)",       15420,       26.67,       55480
Other Production Occupations(519000),     2409900,       20.11,       41820
"Chemical Processing Machine Setters, Operators, and Tenders(519010)",      154790,       24.40,       50760
Chemical Equipment Operators and Tenders(519011),      106170,       25.22,       52450
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders(519012)",       48620,       22.62,       47060
"Crushing, Grinding, Polishing, Mixing, and Blending Workers(519020)",      155920,       20.14,       41900
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders(519021)",       31800,       20.57,       42790
"Grinding and Polishing Workers, Hand(519022)",       15680,       17.30,       35990
"Mixing and Blending Machine Setters, Operators, and Tenders(519023)",      108440,       20.43,       42490
Cutting Workers(519030),       63850,       18.90,       39300
"Cutters and Trimmers, Hand(519031)",        7920,       16.51,       34330
"Cutting and Slicing Machine Setters, Operators, and Tenders(519032)",       55930,       19.23,       40010
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders(519041)",       56570,       19.25,       40050
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders(519051)",       14180,       21.11,       43910
"Inspectors, Testers, Sorters, Samplers, and Weighers(519061)",      551380,       21.54,       44810
Jewelers and Precious Stone and Metal Workers(519071),       24350,       22.64,       47090
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians(519080),       68380,       21.52,       44770
Dental Laboratory Technicians(519081),       34150,       22.75,       47320
Medical Appliance Technicians(519082),       15300,       22.27,       46320
Ophthalmic Laboratory Technicians(519083),       18930,       18.71,       38910
Packaging and Filling Machine Operators and Tenders(519111),      358640,       17.67,       36750
Painting Workers(519120),      157250,       20.90,       43480
"Painting, Coating, and Decorating Workers(519123)",       11850,       18.39,       38250
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders(519124)",      145410,       21.11,       43900
Semiconductor Processing Technicians(519141),       24020,       22.07,       45910
Photographic Process Workers and Processing Machine Operators(519151),        5740,       19.37,       40300
Computer Numerically Controlled Tool Operators and Programmers(519160),      183630,       23.32,       48500
Computer Numerically Controlled Tool Operators(519161),      157840,       22.23,       46240
Computer Numerically Controlled Tool Programmers(519162),       25800,       29.98,       62360
Miscellaneous Production Workers(519190),      591200,       17.75,       36920
Adhesive Bonding Machine Operators and Tenders(519191),       12510,       18.55,       38580
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders(519192)",       13580,       17.22,       35820
Cooling and Freezing Equipment Operators and Tenders(519193),        7500,       20.63,       42910
Etchers and Engravers(519194),        7110,       17.77,       36970
"Molders, Shapers, and Casters, Except Metal and Plastic(519195)",       38420,       18.76,       39020
"Paper Goods Machine Setters, Operators, and Tenders(519196)",       87480,       21.24,       44180
Tire Builders(519197),       17240,       23.00,       47840
Helpers--Production Workers(519198),      202860,       15.82,       32910
"Production Workers, All Other(519199)",      204500,       17.42,       36230
Transportation and Material Moving Occupations(530000),    12639920,       19.88,       41340
First-Line Supervisors of Transportation and Material Moving Workers(531040),      557850,       28.19,       58630
Aircraft Cargo Handling Supervisors(531041),        8590,       29.84,       62080
"First-Line Supervisors of Transportation Workers, Except Aircraft Cargo Handling Supervisors(531047)",      549260,       28.16,       58580
Air Transportation Workers(532000),      254820,           -,      119590
Aircraft Pilots and Flight Engineers(532010),      124080,           -,      169540
"Airline Pilots, Copilots, and Flight Engineers(532011)",       81310,           -,      198190
Commercial Pilots(532012),       42770,           -,      115080
Air Traffic Controllers and Airfield Operations Specialists(532020),       33830,       48.32,      100510
Air Traffic Controllers(532021),       21230,       61.50,      127920
Airfield Operations Specialists(532022),       12610,       26.13,       54360
Flight Attendants(532031),       96900,           -,       62280
Motor Vehicle Operators(533000),     4147650,       21.31,       44330
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians(533011)",       11710,       14.93,       31060
Driver/Sales Workers and Truck Drivers(533030),     3390490,       21.85,       45460
Driver/Sales Workers(533031),      477020,       15.37,       31970
Heavy and Tractor-Trailer Truck Drivers(533032),     1903420,       24.20,       50340
Light Truck Drivers(533033),     1010040,       20.50,       42630
Passenger Vehicle Drivers(533050),      696760,       19.06,       39640
"Bus Drivers, School(533051)",      361420,       18.63,       38750
"Bus Drivers, Transit and Intercity(533052)",      145720,       24.67,       51310
Shuttle Drivers and Chauffeurs(533053),      175660,       15.66,       32570
Taxi Drivers(533054),       13950,       14.45,       30050
"Motor Vehicle Operators, All Other(533099)",       48690,       17.51,       36410
Rail Transportation Workers(534000),      119120,       32.85,       68330
Locomotive Engineers and Operators(534010),       43440,       34.33,       71410
Locomotive Engineers(534011),       38980,       35.07,       72940
"Rail Yard Engineers, Dinkey Operators, and Hostlers(534013)",        4460,       27.92,       58070
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers(534022)",       16200,       30.31,       63050
Railroad Conductors and Yardmasters(534031),       48030,       32.21,       66990
Subway and Streetcar Operators(534041),       10310,       34.38,       71520
"Rail Transportation Workers, All Other(534099)",        1140,       26.03,       54140
Water Transportation Workers(535000),       70480,       38.84,       80780
Sailors and Marine Oilers(535011),       26610,       27.79,       57800
Ship and Boat Captains and Operators(535020),       36220,       45.31,       94250
"Captains, Mates, and Pilots of Water Vessels(535021)",       33490,       47.27,       98330
Motorboat Operators(535022),        2740,       21.35,       44410
Ship Engineers(535031),        7650,       46.59,       96910
Other Transportation Workers(536000),      286680,       17.26,       35900
Bridge and Lock Tenders(536011),        4040,       21.52,       44760
Parking Attendants(536021),       91160,       14.04,       29210
Transportation Service Attendants(536030),      123660,       14.81,       30810
Automotive and Watercraft Service Attendants(536031),      111480,       14.40,       29960
Aircraft Service Attendants(536032),       12170,       18.58,       38640
Traffic Technicians(536041),        7770,       25.58,       53210
Transportation Inspectors(536051),       25070,       37.32,       77620
Passenger Attendants(536061),       21240,       16.53,       34380
"Transportation Workers, All Other(536099)",       13750,       19.23,       39990
Material Moving Workers(537000),     7203320,       16.78,       34900
Conveyor Operators and Tenders(537011),       28650,       17.80,       37010
Crane and Tower Operators(537021),       43400,       31.38,       65270
Dredge Operators(537031),        1650,       24.29,       50530
Hoist and Winch Operators(537041),        2610,       28.10,       58450
Industrial Truck and Tractor Operators(537051),      758290,       19.69,       40950
Laborers and Material Movers(537060),     6178560,       16.14,       33570
Cleaners of Vehicles and Equipment(537061),      351960,       14.69,       30550
"Laborers and Freight, Stock, and Material Movers, Hand(537062)",     2729010,       16.80,       34950
Machine Feeders and Offbearers(537063),       60880,       17.63,       36660
"Packers and Packagers, Hand(537064)",      585270,       14.88,       30950
Stockers and Order Fillers(537065),     2451430,       15.87,       33020
Pumping Station Operators(537070),       29550,       30.09,       62590
Gas Compressor and Gas Pumping Station Operators(537071),        2910,       32.27,       67130
"Pump Operators, Except Wellhead Pumpers(537072)",       10600,       26.15,       54400
Wellhead Pumpers(537073),       16040,       32.29,       67170
Refuse and Recyclable Material Collectors(537081),      126050,       20.57,       42780
"Tank Car, Truck, and Ship Loaders(537121)",       12090,       26.60,       55330
"Material Moving Workers, All Other(537199)",       22470,       19.32,       40190
